CSAPÁGYAK	GOLYÓS CSAPÁGY	MÉLYHORNYÚ GOLYÓSCSAPÁGY	EGYSORÚ MÉLYHORNYÚ GOLYÓSCSAPÁGY	BECO fagyálló egysorú mélyhornyú golyóscsapágy
			SKF hengergörgős csapágy
			SKF kétsorú hengerg. cs. váll nélküli belső gyűrű
			SKF kétsorú hengerg. cs. váll nélküli külső gyűrű
			SKF kétsorú telegörgős hengergörgős cs. tömített
			SKF sarokgyűrű hengergörgős csapágyhoz (NU,NJ)
			SNR egysorú hengergörgős csapágy (NJ)
			SNR egysorú hengergörgős csapágy belsőgyűrű nélkül
			SNR hengergörgős csapágy belső gyűrű nélkül
			SNR telegörgős hengergörgős csapágy
			STEYR egysorú hengergörgős csapágy (N)
			STEYR egysorú hengergörgős csapágy (NJ)
			STEYR egysorú hengergörgős csapágy (NU)
			STEYR egysorú hengergörgős csapágy (NUP)
			TIMKEN hengergörgős csapágy belső gyűrű nélkül
			ZKL/ZVL egysorú hengergörgős csapágy (NJ)
			ZKL/ZVL egysorú hengergörgős csapágy (NU)
			ZKL/ZVL egysorú hengergörgős csapágy (NUP)
			ZKL/ZVL kétsorú hengerg. cs. váll nélküli külső gy
		TŰGÖRGŐS CSAPÁGY	TŰGÖRGŐS KOSÁR	IKO tűgörgős kosár
				INA tűgörgős kosár
				KELETI tűgörgős kosár
				KOYO tűgörgős kosár
				KOYO tűgörgős kosár (2 fél darab)
				NSK tűgörgős kosár (2 fél darab)
				NTN tűgörgős kosár
				RUVILLE tűgörgős kosár
				SKF tűgörgős kosár
			TŰGÖRGŐS CSAPÁGY BELSŐ GYŰRŰ NÉLKÜL	FAG tűgörgős csapágy belső gyűrű nélkül
				IKO lemezházas tűgörgős csapágy
				IKO lemezházas tűgörgős csapágy zárt véggel
				IKO telegörgős tűgörgős csapágy
				IKO tűgörgős csapágy belső gyűrű nélkül
				INA beálló tűgörgős csapágy belső gyűrű nélkül
				INA lemezházas tűgörgős csapágy
				INA lemezházas tűgörgős csapágy zárt véggel
				INA telegörgős tűgörgős csapágy (HK)
				INA tűgörgős csapágy belső gyűrű nélkül
				INA tűgörgős csapágy belső gyűrű nélkül, porvédős
				KELETI lemezházas tűgörgős csapágy
				KELETI lemezházas tűgörgős csapágy zárt véggel
				KELETI tűgörgős csapágy belső gyűrű nélkül
				KOYO lemezházas tűgörgős csapágy zárt véggel
				KOYO telegörgős tűgörgős csapágy
				KOYO telegörgős tűgörgős csapágy (HK)
				KOYO telegörgős tűgörgős csapágy zárt véggel
				KOYO tűgörgős csapágy belső gyűrű nélkül, porvédős
				NADELLA telegörgős tűgörgős csapágy
				NADELLA telegörgős tűgörgős csapágy zárt véggel
				NADELLA tűgörgős csapágy belső gyűrű nélkül
				NIS lemezházas tűgörgős csapágy
				NSK lemezházas tűgörgős csapágy
				NTN lemezházas tűgörgős csapágy
				NTN tűgörgős csapágy belső gyűrű nélkül
				SKF beálló tűgörgős csapágy belső gyűrű nélkül
				SKF lemezházas tűgörgős csapágy
				SKF lemezházas tűgörgős csapágy +egyoldali tömítés
				SKF lemezházas tűgörgős csapágy +kétoldali tömítés
				SKF lemezházas tűgörgős csapágy zárt véggel
				SKF támasztógörgő belső gyűrű nélkül
				SKF tűgörgős csapágy belső gyűrű nélkül
				SKF tűgörgős csapágy belső gyűrű nélkül, porvédős
				TIMKEN lemezházas tűgörgős csapágy
			TŰGÖRGŐS CSAPÁGY BELSŐ GYŰRŰVEL	FAG tűgörgős csapágy belső gyűrűvel
